title|ser|actors|genre|cert|year|mins|format|set|score
Unknown|&nbsp;|Liam Neeson, Diane Kruger, January Jones, Aidan Quinn|Action, Mystery, Thriller|PG-13|2011|113 min|DVD|No|6.9
Untouchables, The|&nbsp;|Kevin Costner, Sean Connery, Charles Martin Smith, Andy Garcia|Crime, Drama, Thriller|R|1987|119 min|DVD|No|7.9
Up in the Air|&nbsp;|George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman|Drama, Romance|R|2009|109 min|DVD|No|7.4
Utopia|&nbsp;|Stan Laurel, Oliver Hardy, Suzy Delair, Max Elloy|Comedy|N/A|1951|82 min|DVD|Yes|5.6
V for Vendetta||Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry|Action, Drama, Sci-Fi, Thriller|R|2005|132 min|DVD|No|8.2
Van Helsing|&nbsp;|Hugh Jackman, Kate Beckinsale, Richard Roxburgh, David Wenham|Action, Adventure, Fantasy|PG-13|2004|131 min|DVD|No|6.1
Village, The|&nbsp;|Bryce Dallas Howard, Joaquin Phoenix, Adrien Brody, William Hurt|Drama, Mystery, Thriller|PG-13|2004|108 min|DVD|No|6.5
Walk the Line|&nbsp;|Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick|Biography, Drama, Music, Romance|PG-13|2005|136 min|DVD|No|7.9
War of the Worlds|&nbsp;|Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin|Adventure, Sci-Fi, Thriller|PG-13|2005|116 min|DVD|No|6.5
Wayne's World|&nbsp;|Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere|Comedy, Music|PG-13|1992|94 min|DVD|No|7.0
Wayne's World 2|&nbsp;|Mike Myers, Dana Carvey, Christopher Walken, Tia Carrere|Comedy, Music|PG-13|1993|95 min|DVD|No|6.2
We Were Soldiers|&nbsp;|Mel Gibson, Madeleine Stowe, Greg Kinnear, Sam Elliott|Action, Drama, History, War|R|2002|138 min|DVD|No|7.2
Westworld|&nbsp;|Yul Brynner, Richard Benjamin, James Brolin, Norman Bartold|Action, Sci-Fi, Thriller, Western|PG|1973|88 min|DVD|No|7.0
What's Eating Gilbert Grape|&nbsp;|Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen|Drama|PG-13|1993|118 min|DVD|No|7.8
What's Love Got to Do with It||RaéVen Kelly, Virginia Capers, Dororthy Thorton, Demetrice Cheathon|Biography, Drama, Music|R|1993|118 min|DVD|No|7.3
What Lies Beneath|&nbsp;|Michelle Pfeiffer, Katharine Towne, Miranda Otto, James Remar|Drama, Fantasy, Horror, Mystery, Thriller|PG-13|2000|130 min|DVD|No|6.6
Where Eagles Dare|&nbsp;|Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark|Action, Adventure, War|PG|1968|158 min|Bluray|Yes|7.7
Windtalkers|&nbsp;|Nicolas Cage, Adam Beach, Peter Stormare, Noah Emmerich|Action, Drama, War|R|2002|134 min|DVD|No|6.0
World Is Not Enough, The|&nbsp;|Pierce Brosnan, Sophie Marceau, Robert Carlyle, Denise Richards|Action, Adventure, Thriller|PG-13|1999|128 min|DVD|No|6.4
X-Men|&nbsp;|Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen|Action, Adventure, Sci-Fi|PG-13|2000|104 min|DVD|No|7.4
X-Men 2|&nbsp;|Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry|Action, Adventure, Sci-Fi, Thriller|PG-13|2003|134 min|DVD|No|7.5
X-Men: The Last Stand|&nbsp;|Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart|Action, Adventure, Sci-Fi, Thriller|PG-13|2006|104 min|DVD|No|6.7
Yentl|&nbsp;|Barbra Streisand, Mandy Patinkin, Amy Irving, Nehemiah Persoff|Drama, Musical, Romance|PG|1983|133 min|DVD|No|6.6
Zulu|&nbsp;|Stanley Baker, Jack Hawkins, Ulla Jacobsson, James Booth|Drama, History, War|NOT RATED|1964|138 min|DVD|No|7.8
