title|ser|actors|genre|cert|year|mins|format|set|score
Cry-Baby|&nbsp;|Johnny Depp, Amy Locane, Susan Tyrrell, Polly Bergen|Comedy, Musical|PG-13|1990|85 min|DVD|No|6.5
Curious Case of Benjamin Button, The|&nbsp;|Cate Blanchett, Brad Pitt, Julia Ormond, Faune Chambers Watkins|Drama, Fantasy, Romance|PG-13|2008|166 min|DVD|No|7.8
Da Vinci Code, The|&nbsp;|Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno|Mystery, Thriller|PG-13|2006|149 min|DVD|No|6.6
Damien: Omen II|&nbsp;|William Holden, Lee Grant, Jonathan Scott-Taylor, Robert Foxworth|Horror|R|1978|107 min|DVD|Yes|6.3
Dances with Wolves|&nbsp;|Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant|Adventure, Drama, Western|PG-13|1990|181 min|DVD|No|8.0
Danish Girl, The|&nbsp;|Alicia Vikander, Eddie Redmayne, Tusse Silberg, Adrian Schiller|Biography, Drama, History, Romance|R|2015|119 min|Bluray|No|7.1
Dark Knight, The|&nbsp;|Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine|Action, Crime, Drama, Thriller|PG-13|2008|152 min|Bluray|Yes|9.0
Dark Shadows|&nbsp;|Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter, Eva Green|Comedy, Fantasy, Horror|PG-13|2012|113 min|Bluray|No|6.2
Day After Tomorrow, The|&nbsp;|Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok|Action, Adventure, Sci-Fi, Thriller|PG-13|2004|124 min|DVD|No|6.4
Days of Thunder|&nbsp;|Tom Cruise, Nicole Kidman, Robert Duvall, Randy Quaid|Action, Drama, Sport|PG-13|1990|107 min|DVD|No|5.9
Dead Poets Society|&nbsp;|Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles|Comedy, Drama|PG|1989|128 min|DVD|No|8.1
Dead Pool, The|&nbsp;|Clint Eastwood, Patricia Clarkson, Liam Neeson, Evan C. Kim|Action, Crime, Mystery, Thriller|R|1988|91 min|DVD|Yes|6.3
Deer Hunter, The|&nbsp;|Robert De Niro, John Cazale, John Savage, Christopher Walken|Drama, War|R|1978|183 min|DVD|No|8.1
Defiance|&nbsp;|Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos|Action, Drama, History, Thriller, War|R|2008|137 min|DVD|No|7.2
