title|season|year|mins|format|score
John Wick|&nbsp;|2014|101 min|Blu-ray Disc|7.3
John Wick: Chapter 2|&nbsp;|2017|122 min|Blu-ray Disc|7.5
John Wick: Chapter 3 - Parabellum|&nbsp;|2019|131 min|Blu-ray Disc|7.6
Johnny and the Bomb|1|2006–|120 min|DVD|7.0
Jumanji|&nbsp;|1995|104 min|DVD|7.0
Jupiter Ascending|&nbsp;|2015|127 min|DVD|5.3
K-19: The Widowmaker|&nbsp;|2002|138 min|DVD|6.7
Kalifornia|&nbsp;|1993|117 min|DVD|6.7
Kelly's Heroes|&nbsp;|1970|144 min|Blu-ray Disc|7.7
Kelly's Heroes|&nbsp;|1970|144 min|DVD|7.7
Kes|&nbsp;|1969|111 min|DVD|7.9
Kill Bill: Vol. 1|&nbsp;|2003|111 min|DVD|8.1
Kill Bill: Vol. 2|&nbsp;|2004|137 min|DVD|8.0
King and I, The|&nbsp;|1956|133 min|DVD|7.5
King Arthur|&nbsp;|2004|126 min|DVD|6.3
King Arthur: Legend of the Sword|&nbsp;|2017|126 min|DVD|6.8
King Kong|&nbsp;|2005|187 min|DVD|7.2
Kingdom of Heaven|&nbsp;|2005|144 min|DVD|7.2
Kingdom, The|&nbsp;|2007|110 min|DVD|7.0
Labyrinth|&nbsp;|1986|101 min|DVD|7.4
Lady in the Water|&nbsp;|2006|110 min|DVD|5.6
Lara Croft Tomb Raider: The Cradle of Life|&nbsp;|2003|117 min|DVD|5.5
Lara Croft: Tomb Raider|&nbsp;|2001|100 min|DVD|5.8
Last Boy Scout, The|&nbsp;|1991|105 min|DVD|7.0
Last Man Standing|&nbsp;|1996|101 min|DVD|6.4
Last of the Mohicans, The|&nbsp;|1992|112 min|DVD|7.8
Last Samurai, The|&nbsp;|2003|154 min|DVD|7.7
Last Witch Hunter, The|&nbsp;|2015|106 min|DVD|6.0
Layer Cake|&nbsp;|2004|105 min|DVD|7.4
League of Extraordinary Gentlemen, The|&nbsp;|2003|110 min|DVD|5.8
League of Gentlemen, The|1|1999–2017|60 min|DVD|8.4
Legally Blonde|&nbsp;|2001|96 min|DVD|6.3
Legend of Tarzan, The|&nbsp;|2016|110 min|DVD|6.3
Legion|&nbsp;|2010|100 min|DVD|5.2
Léon: The Professional|&nbsp;|1994|110 min|DVD|8.6
Les Misérables in Concert: The 25th Anniversary|&nbsp;|2010|178 min|DVD|8.8
Lethal Weapon|&nbsp;|1987|109 min|DVD|7.6
Lethal Weapon 2|&nbsp;|1989|114 min|DVD|7.2
Lethal Weapon 3|&nbsp;|1992|118 min|DVD|6.7
Lethal Weapon 4|&nbsp;|1998|127 min|DVD|6.6
Letters from Iwo Jima|&nbsp;|2006|141 min|Blu-ray Disc|7.9
Libertine, The|&nbsp;|2004|114 min|DVD|6.3
Life of Brian|&nbsp;|1979|94 min|DVD|8.1
Little Britain|1|2003–2006|29 min|DVD|7.6
Live Aid|&nbsp;|1985|960 min|DVD|8.5
Live and Let Die|&nbsp;|1973|121 min|Blu-ray Disc|6.8
Lock, Stock and Two Smoking Barrels|&nbsp;|1998|107 min|DVD|8.2
London Boulevard|&nbsp;|2010|103 min|DVD|6.2
Lone Ranger, The|&nbsp;|2013|150 min|DVD|6.4
Long Way Down|1|2007–|519 min|DVD|8.3
Long Way Round|1|2004–|315 min|DVD|8.6
Longest Yard, The|&nbsp;|1974|121 min|DVD|7.1
Longest Yard, The|&nbsp;|2005|113 min|DVD|6.4
Looper|&nbsp;|2012|113 min|DVD|7.4
